store	itemCode	description	dailyUsage	buildTo	stockOnHand	stockOnOrder	orderQty	unit	onHandSource	buildToSource
3806	3912	DRINK PEPSI POST MIX	0.6543	4	30	0	0	CARTON-15L	report	catalog-fixed
3806	3939	DRINK 7UP BIB 15L	0.0357	3	34.5	0	0	CARTON-15L	report	catalog-fixed
3806	40003	JALAPENO	0.0057	0.0571	0.6254	0	0	CARTON-6x2.3KG	report	catalog-days
3806	40037	SUGAR CINNAMON 5KG	0.0157	0.1571	1.2	0	0	CARTON-5x2.5KG	report	catalog-days
3806	4068	DRINK SOLO LEMON BIB 15L	0.0371	3	45	0	0	CARTON-15L	report	catalog-fixed
3806	4075	DRINK SUNKIST ORANGE BIB 15L	0.0243	3	39	0	0	CARTON-15L	report	catalog-fixed
3806	4091	DRINK FCB FREEZE TRAD RASPBERRY 10L	0.01	1	16	0	0	CARTON-10L	report	catalog-fixed
3806	4095	DRINK FCB FREEZE PEPSI 10L	0.02	1	15	0	0	CARTON-10L	report	catalog-fixed
3808	38358	TB MEXICAN RICE (FINISHED PRODUCT)	7978.7857	79787.8571	0	0	79788	GRAM-1GM	missing	default
3808	38360	TB GUACAMOLE (FINISHED PRODUCT)	3464.1429	34641.4286	0	0	34642	GRAM-1GM	missing	default
3808	38377	TB TOMATO DICED (FINISHED PRODUCT)	1998	13986	0	0	13986	GRAM-1GM	missing	default
3808	38372	TB TACO SHELLS (FINISHED PRODUCT)	194.8571	1948.5714	0	0	1949	EACH	report	default
3808	38295	TB TOSTADA (FINISHED PRODUCT)	108.4286	1084.2857	0	0	1085	EACH	missing	default
3808	39867A	MEAT CHICKEN COOKED	2.4571	24.5714	0.0064	0	25	CARTON-10X600GM	report	catalog-days
3808	40109	FRIES SURECRISP	4.9343	64.1457	40.5	0	24	CARTON-6x2KG	report	catalog-days
3808	38362	TB FIESTA SALSA (FINISHED PRODUCT)	2.29	22.9	0	0	23	KG	missing	default
3808	7759	DRINK DARE ICED COFFEE DOUBLE	1.2857	12.8571	0	0	13	EACH	report	catalog-days
3808	SLETT	LETTUCE SHREDDED	0.9757	8.83	0	0	9	CARTON-4X2.5KG	report	catalog-days
3808	39009	CHIP NACHO CORN	0.8486	11.0314	5	0	7	CARTON-4.5KG	report	default
3808	DTOM4	TOMATO DICED	1.3371	9.36	2.5	0	7	CARTON-4x1KG	report	catalog-days
3808	37923	TORTILLA FLOUR 10.25INCH	1.3671	17.7729	6.75	6	6	CARTON-12x12	report	catalog-days
3808	38240	BEANS BLACK COOKED	0.81	8.1	3	0	6	CARTON-12x1KG	report	catalog-days
3808	10004423	DRINK PEPSI MAX CAN	0.5186	6.7414	2	0	5	CARTON-30	report	catalog-days
3808	3226	DRINK PEPSI MAX 600ML	0.3271	4.2529	0.0417	0	5	CARTON-24	report	catalog-days
3808	40255	CHEESE BLEND MOZZ/CHEDD (PIZZA) SHRED	0.4714	4.7143	1.0833	0	4	CARTON-6x2KG	report	catalog-days
3808	8419	CREAM SOUR LIGHT	1.0357	10.3571	7	0	4	EACH-5KG	report	catalog-days
3808	37891	TORTILLA CORN 6 INCH	0.7014	9.1186	3.5833	3	3	CARTON-12x36	report	catalog-days
3808	37925	TORTILLA FLOUR 12INCH	1.0171	13.2229	6.1667	5	3	CARTON-12x12	report	catalog-days
3808	39520	MEAT BEEF COOKED	1.5143	19.6857	9.75	7	3	CARTON-8x1.85KG	report	catalog-days
3808	CHOPC	SALAD CORIANDER CHOPPED	0.3929	2.75	0.001	0	3	BAG-500GM	report	catalog-days
3808	10004425	DRINK SOLO CAN	0.17	2.21	0.6667	0	2	CARTON-30	report	catalog-days
3808	10006282	DRINK WATER 600ML PET	0.2871	3.7329	2.125	0	2	CARTON-24	report	catalog-days
3808	2918	DRINK SOLO LEMON 600ML PET	0.11	1.43	0.2917	0	2	CARTON-24	report	catalog-days
3808	3221	DRINK PEPSI 600ML	0.0957	1.2443	0.125	0	2	CARTON-24	report	catalog-days
3808	37597	CHURROS MINI	0.5114	5.1143	2	2	2	CARTON-72	report	catalog-days
3808	37872	CANTINA BROWN BOX	0.2414	2.4143	0.7	0	2	CARTON-200	report	default
3808	37909	SAUCE NACHO CHEESE	0.8257	8.2571	2.4167	4	2	CARTON-6x1.8KG	report	catalog-days
3808	37927	TORTILLA FLOUR 6.5INCH	0.3143	4.0857	2	1	2	CARTON-24x12	report	catalog-days
3808	37928	FLATBREAD	0.6214	6.2143	4.25	0	2	CARTON-24X6	report	catalog-days
3808	37991	BAG TAKEAWAY BROWN LARGE 2	0.2386	2.3857	0	1	2	CARTON-250	report	default
3808	38892	BIG BELL BOX 2	0.1571	1.5714	0.02	0	2	CARTON-250	report	default
3808	607826	OIL FRYING LIQUID CARGILL	0.5971	5.9714	4	0	2	CARTON-15KG	report	catalog-days
3808	DO4	ONION BROWN DICED	0.33	2.31	1	0	2	CARTON-4x1KG	report	catalog-days
3808	10004815	DRINK MOUNTAIN DEW 600ML PET	0.1114	1.4486	1.3333	0	1	CARTON-24	report	catalog-days
3808	10006824	DRINK LIPTON ICE TEA LEMON 500ML	0.0471	0.6129	0.5	0	1	CARTON-24	report	catalog-days
3808	10006826	DRINK LIPTON ICE TEA PEACH	0.0714	0.9286	0.25	0	1	CARTON-24	report	catalog-days
3808	10006942	DRINK RED BULL TROPICAL 250ML	0.0586	0.7614	0.5	0	1	CARTON-12	report	catalog-days
3808	10007182	DRINK JUICE POP TOP APPLE 250ML	0.0843	1.0957	0.2917	0	1	CARTON-24	report	catalog-days
3808	10007191	DRINK MOUNTAIN DEW CAN	0.17	2.21	1.4	0	1	CARTON-30	report	catalog-days
3808	10007576	DRINK 7UP CAN	0.1343	1.7457	1.0333	0	1	CARTON-30	report	catalog-days
3808	106431	260 x 260mm Baking Paper Golden Silidor	0.0029	0.0286	0	0	1	CARTON-1000	report	default
3808	106491	4OZ PORTION CUP 50EA	0.0457	0.4571	0	0	1	PACK-50	report	default
3808	106551	4OZ PORTION CUP LID 50EA	0.0457	0.4571	0	0	1	PACK-50	report	default
3808	14701	GUACAMOLE	0.2971	2.9714	0.8333	2	1	CARTON-6x1.5KG	report	catalog-days
3808	2938	DRINK SUNKIST ORANGE 600ML	0.09	1.17	0.4167	0	1	CARTON-24	report	catalog-days
3808	3227	DRINK 7UP 600ML PET	0.1014	1.3186	0.9583	0	1	CARTON-24	report	catalog-days
3808	36549	NAPKINS BROWN RECYCLE	0.1314	1.3143	0.9167	0	1	CARTON-12x500	report	default
3808	37013	SAUCE PICO DE GALLO 100GM	0.0514	0.5143	0.0005	0	1	CARTON-12x500GM	report	catalog-days
3808	37915	RICE LONG GRAIN WHITE	0.4757	4.7571	4	0	1	BAG-10KG	report	catalog-days
